description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows annual nitrogen fertilizer treatment,nil,1852-2022,nitrogen fertilizer exposure,,0,,,,
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N1,1852-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,48,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N2,1852-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,96,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N3,1852-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N4,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N5,1985-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N6,1985-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to forage maize, seedbed and post-emergence. Strip 19",N2+1,1997-2017,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,2 applications in spring ,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to forage maize, seedbed and post-emergence. Strip 18 ",N2+2,1997-2017,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,2 applications in spring ,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to forage maize, seedbed and post-emergence. Strip 12",N2+3,1997-2017,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,2 applications in spring ,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to forage maize, seedbed and post-emergence. Strip 17",N2+4,1997-2017,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,2 applications in spring ,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
