harvest_year,strip,section,plot,section_1926-67,fertilizer_code,crop,previous_crop,fym_factor_level,fym_applied,fym_date,castor_meal_factor_level,n_factor_level,n_timing,spring1_n_kg/ha,spring1_n_date,spring2_n_kg/ha,spring2_n_date,total_fertilizer_n_amount,p_factor_level,p_amount,p_date,k_factor_level,k_amount,k_date,na_factor_level,na_amount,na_date,mg_factor_level,mg_amount,mg_date,sow_date,harvest_date,cultivar,dry_matter_%,yield_100%dm,note
1997,1,3,1\3,II,FYM N4 PK,maize,oats,FYM,35,1996-09-27,nil,N4,mid_spring,192,1997-04-23,0,*,192,P,35.000,1996-09-25,K,90,1996-09-25,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,36.700,16.360,2
1997,21,3,21\3,II,FYM N2,maize,oats,FYM,35,1996-09-27,nil,N2,mid_spring,96,1997-04-23,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,35.800,17.450,"2,15"
1997,22,3,22\3,II,FYM,maize,oats,FYM,35,1996-09-27,nil,nil,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,37.400,17.530,"2,15"
1997,3,3,3\3,II,Nil,maize,oats,nil,0,*,nil,nil,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,31.700,3.640,2
1997,5,3,5\3,II,PKMg,maize,oats,nil,0,*,nil,nil,*,0,*,0,*,0,P,35.000,1996-09-25,K,90,1996-09-25,(Na),0,*,Mg,0,*,1997-04-23,1997-09-17,Hudson,31.300,4.800,"2,13"
1997,6,3,6\3,II,N1PKMg,maize,oats,nil,0,*,nil,N1,mid_spring,48,1997-04-23,0,*,48,P,35.000,1996-09-25,K,90,1996-09-25,(Na),0,*,Mg,0,*,1997-04-23,1997-09-17,Hudson,36.100,11.850,"2,13"
1997,7,3,7\3,II,N2PKMg,maize,oats,nil,0,*,nil,N2,mid_spring,96,1997-04-23,0,*,96,P,35.000,1996-09-25,K,90,1996-09-25,(Na),0,*,Mg,0,*,1997-04-23,1997-09-17,Hudson,39.200,14.860,"2,13"
1997,8,3,8\3,II,N3PKMg,maize,oats,nil,0,*,nil,N3,mid_spring,144,1997-04-23,0,*,144,P,35.000,1996-09-25,K,90,1996-09-25,(Na),0,*,Mg,0,*,1997-04-23,1997-09-17,Hudson,38.800,18.620,"2,13"
1997,9,3,9\3,II,N4PKMg,maize,oats,nil,0,*,nil,N4,mid_spring,192,1997-04-23,0,*,192,P,35.000,1996-09-25,K,90,1996-09-25,(Na),0,*,Mg,0,*,1997-04-23,1997-09-17,Hudson,41.300,18.500,"2,13"
1997,10,3,10\3,II,N2,maize,oats,nil,0,*,nil,N2,mid_spring,96,1997-04-23,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,32.000,5.770,2
1997,11,3,11\3,II,N2P,maize,oats,nil,0,*,nil,N2,mid_spring,96,1997-04-23,0,*,96,P,35.000,1996-09-25,nil,0,*,nil,0,*,nil,0,*,1997-04-23,1997-09-17,Hudson,33.300,6.460,2
1997,12,3,12\3,II,N2PNa*,maize,oats,nil,0,*,nil,N2,mid_spring,96,1997-04-23,0,*,96,P,35.000,1996-09-25,nil,0,*,Na*,55,1996-09-25,nil,0,*,1997-04-23,1997-09-17,Hudson,35.300,8.730,2
