harvest_year,strip,section,plot,section_1926-67,fertilizer_code,crop,previous_crop,fym_factor_level,fym_applied,fym_date,castor_meal_factor_level,n_factor_level,n_timing,spring1_n_kg/ha,spring1_n_date,spring2_n_kg/ha,spring2_n_date,total_fertilizer_n_amount,p_factor_level,p_amount,p_date,k_factor_level,k_amount,k_date,na_factor_level,na_amount,na_date,mg_factor_level,mg_amount,mg_date,sow_date,harvest_date,cultivar,dry_matter_%,yield_100%dm,note
1997,1,3,1\3,II,FYM N4 PK,maize,oats,FYM,35,27-09-1996,nil,N4,mid_spring,192,23-04-1997,0,*,192,P,35,25-09-1996,K,90,25-09-1996,nil,0,*,nil,0,*,23-04-1997,17-09-1997,Hudson,36.7,16.36,2
1997,21,3,21\3,II,FYM N2,maize,oats,FYM,35,27-09-1996,nil,N2,mid_spring,96,23-04-1997,0,*,96,nil,0,*,nil,0,*,nil,0,*,nil,0,*,23-04-1997,17-09-1997,Hudson,35.8,17.45,"2,15"
1997,22,3,22\3,II,FYM,maize,oats,FYM,35,27-09-1996,nil,nil,*,0,*,0,*,0,nil,0,*,nil,0,*,nil,0,*,nil,0,*,23-04-1997,17-09-1997,Hudson,37.4,17.53,"2,15"
1997,3,3,3\3,II,Nil,maize,oats,nil,0,*,nil,nil,*,0,*,0,*,0,nil,0,*,nil,0,*,nil,0,*,nil,0,*,23-04-1997,17-09-1997,Hudson,31.7,3.64,2
1997,5,3,5\3,II,PKMg,maize,oats,nil,0,*,nil,nil,*,0,*,0,*,0,P,35,25-09-1996,K,90,25-09-1996,(Na),0,*,Mg,0,*,23-04-1997,17-09-1997,Hudson,31.3,4.8,"2,13"
1997,6,3,6\3,II,N1PKMg,maize,oats,nil,0,*,nil,N1,mid_spring,48,23-04-1997,0,*,48,P,35,25-09-1996,K,90,25-09-1996,(Na),0,*,Mg,0,*,23-04-1997,17-09-1997,Hudson,36.1,11.85,"2,13"
1997,7,3,7\3,II,N2PKMg,maize,oats,nil,0,*,nil,N2,mid_spring,96,23-04-1997,0,*,96,P,35,25-09-1996,K,90,25-09-1996,(Na),0,*,Mg,0,*,23-04-1997,17-09-1997,Hudson,39.2,14.86,"2,13"
1997,8,3,8\3,II,N3PKMg,maize,oats,nil,0,*,nil,N3,mid_spring,144,23-04-1997,0,*,144,P,35,25-09-1996,K,90,25-09-1996,(Na),0,*,Mg,0,*,23-04-1997,17-09-1997,Hudson,38.8,18.62,"2,13"
1997,9,3,9\3,II,N4PKMg,maize,oats,nil,0,*,nil,N4,mid_spring,192,23-04-1997,0,*,192,P,35,25-09-1996,K,90,25-09-1996,(Na),0,*,Mg,0,*,23-04-1997,17-09-1997,Hudson,41.3,18.5,"2,13"
1997,10,3,10\3,II,N2,maize,oats,nil,0,*,nil,N2,mid_spring,96,23-04-1997,0,*,96,nil,0,*,nil,0,*,nil,0,*,nil,0,*,23-04-1997,17-09-1997,Hudson,32,5.77,2
